plant_code,name,state,lat,lon,ba,nameplate_MW_total,nameplate_MW_peaker,nameplate_MW_ccgt,n_units,cf_ac,cf_dc
55419,Plaquemine Cogeneration Plant,LA,30.3217,-91.2347,MISO,1084.8,0.0,1084.8,7,0.21849128244026553,0.1680702172617427
7757,Chouteau,OK,36.222058,-95.277064,AECI,1069.6,0.0,1069.6,6,0.2194577972272914,0.16881369017483952
55927,Jasper,SC,32.3594,-81.1242,SCEG,1068.2,0.0,1068.2,4,0.21096498659859506,0.1622807589219962
58215,Lee Combined Cycle Plant,NC,35.373611,-78.089444,DUK,1068.0,0.0,1068.0,4,0.21810454100648735,0.1677727238511441
59764,Oregon Clean Energy Center,OH,41.667928,-83.443664,PJM,1060.0,0.0,1060.0,3,0.19230013040865981,0.14792317723743062
54,J K Smith,KY,37.8833,-84.1017,PJM,1055.0,1055.0,0.0,9,0.19580574914998733,0.1506198070384518
358,Mountainview Generating Station,CA,34.0818,-117.2418,CISO,1036.8,0.0,1036.8,6,0.25877570613420586,0.19905823548785068
55226,Freestone Energy Center,TX,31.8907,-96.1131,ERCO,1036.0,0.0,1036.0,6,0.21778006602598754,0.1675231277122981
61028,Hickory Run Energy Station,PA,40.994444,-80.43,PJM,1033.7,0.0,1033.7,3,0.1700356958885884,0.130796689145068
2706,Asheville,NC,35.4731,-82.5417,CPLE,1011.5,423.5,588.0,6,0.2092627034510537,0.16097131034696438
55439,Tenaska Virginia Generating Station,VA,37.8667,-78.3813,PJM,1011.4,0.0,1011.4,4,0.2009407789947055,0.1545698299959273
55451,Magnolia Power Plant,MS,34.835,-89.2026,TVA,1003.5,0.0,1003.5,6,0.20538415613358918,0.1579878124104532
60926,St. Charles Power Station (LA),LA,30.01,-90.460833,MISO,1000.0,0.0,1000.0,3,0.22235447731350894,0.1710419056257761
60925,Montgomery County,TX,30.44083,-95.5275,MISO,1000.0,0.0,1000.0,3,0.20700902856789244,0.15923771428299419
60927,Lake Charles Power,LA,30.27099,-93.28861,MISO,1000.0,0.0,1000.0,3,0.20797933932393387,0.1599841071722568
3405,John Sevier,TN,36.3767,-82.9639,TVA,996.9,0.0,996.9,4,0.19846038604119348,0.15266183541630268
55286,Oleander Power Project LP,FL,28.3661,-80.7947,FPL,994.4,994.4,0.0,5,0.23775938606521335,0.1828918354347795
55144,Hays Energy Project,TX,29.7806,-97.9894,ERCO,989.0,0.0,989.0,4,0.22220655925133878,0.17092812250102982
55166,Broad River Energy Center,SC,35.0786,-81.575,DUK,985.0,985.0,0.0,5,0.21601811045796815,0.1661677772753601
1355,E W Brown,KY,37.78831,-84.71257,LGEE,980.6,980.6,0.0,7,0.2009688199511452,0.15459139996241938
7538,Wayne County Energy Complex,NC,35.375789,-78.098052,CPLE,979.7,979.7,0.0,5,0.2201043910188938,0.1693110700145337
55401,Rolling Hills Generating,OH,39.0839,-82.3328,PJM,977.5,977.5,0.0,5,0.18330653898125338,0.1410050299855795
50006,Linden Cogen Plant,NJ,40.6322,-74.2156,NYIS,974.1,0.0,974.1,9,0.195554052378786,0.1504261941375277
641,Gulf Clean Energy Center,FL,30.5661,-87.2244,FPL,972.4,972.4,0.0,4,0.21633386000427293,0.1664106615417484
55087,Zeeland Generating Station,MI,42.8206,-85.9975,MISO,968.2,377.4,590.8,5,0.1849141680993638,0.1422416677687414
60376,"Clean Energy Future-Lordstown, LLC",OH,41.14889,-80.85162,PJM,962.0,0.0,962.0,3,0.17021915870652368,0.1309378143896336
55518,High Desert Power Plant,CA,34.5953,-117.3647,CISO,960.0,0.0,960.0,4,0.2778907489914876,0.2137621146088366
3264,W S Lee,SC,34.6022,-82.435,DUK,954.7,108.0,846.7,5,0.21474449079056857,0.1651880698388989
55333,Delta Energy Center,CA,38.0169,-121.8439,CISO,943.5,0.0,943.5,4,0.24753895648957785,0.1904145819150599
55137,Rio Nogales Power Project,TX,29.593056,-97.973215,ERCO,940.2,0.0,940.2,4,0.22245154500384584,0.1711165730798814
55062,Tenaska Frontier Generation Station,TX,30.5924,-95.9178,ERCO,939.7,0.0,939.7,4,0.21182775139387633,0.16294442414913562
55132,Tenaska Gateway Generating Station,TX,32.017826,-94.619743,ERCO,939.6,0.0,939.6,4,0.207337999817878,0.1594907690906754
55271,Tenaska Lindsay Hill Generating Station,AL,32.6514,-86.7386,SOCO,939.4,0.0,939.4,4,0.20911349221546158,0.16085653247343198
10554,Formosa Utility Venture Ltd,TX,28.6917,-96.5417,ERCO,933.4,0.0,933.4,13,0.21920270895194163,0.16861746842457048
55327,Baytown Energy Center,TX,29.7731,-94.9019,ERCO,932.9,0.0,932.9,4,0.20975103696974245,0.1613469515151865
55440,Central Alabama Generating Station,AL,32.6497,-86.74,SOCO,927.1,0.0,927.1,4,0.20911349221546158,0.16085653247343198
55299,Channel Energy Center LLC,TX,29.7189,-95.2319,ERCO,923.8,0.0,923.8,4,0.21445196458562255,0.16496304968124811
1396,Coughlin Power Station,LA,30.8439,-92.261111,MISO,922.8,0.0,922.8,5,0.2124861311155107,0.1634508700888544
55503,"Waterford Power, LLC",OH,39.5333,-81.7178,PJM,921.6,0.0,921.6,4,0.18227446195485814,0.1402111245806601
7709,Dahlberg,GA,34.042267,-83.397721,SOCO,919.0,919.0,0.0,10,0.20799671461418406,0.1599974727801416
55187,Channelview Cogeneration Plant,TX,29.836952,-95.121744,ERCO,918.3,0.0,918.3,5,0.20975103696974245,0.1613469515151865
2336,Tracy,NV,39.5625,-119.525,NEVP,913.1,170.0,743.1,7,0.25430356687796657,0.1956181283676666
55146,Green Country Energy LLC,OK,35.9833,-95.9346,SWPP,903.9,0.0,903.9,6,0.22125833572553974,0.1701987197888767
55269,TVA Southaven Combined Cycle,MS,34.9939,-90.0378,TVA,903.9,0.0,903.9,6,0.20847707650063674,0.16036698192356671
55467,Ouachita,LA,32.7061,-92.0683,MISO,903.9,0.0,903.9,6,0.20893615155341813,0.1607201165795524
55292,Decatur Energy Center,AL,34.6292,-87.0214,TVA,902.4,0.0,902.4,4,0.20942344479074612,0.16109495753134317
55293,Morgan Energy Center,AL,34.6397,-87.0639,TVA,900.0,0.0,900.0,4,0.20942344479074612,0.16109495753134317
55706,Choctaw County,MS,33.2881,-89.4201,TVA,899.0,0.0,899.0,4,0.20924802092822226,0.1609600160986325
55976,Hunterstown Power Plant,PA,39.8725,-77.1672,PJM,898.0,0.0,898.0,4,0.1969601560574964,0.1515078123519203
55089,Taft Cogeneration Facility,LA,29.9888,-90.4599,MISO,894.2,0.0,894.2,4,0.22235447731350894,0.1710419056257761
2539,Bethlehem Energy Center,NY,42.594196,-73.763752,NYIS,893.1,0.0,893.1,4,0.18422787418706985,0.1417137493746691
7839,Ladysmith,VA,38.0722,-77.5133,PJM,892.5,892.5,0.0,5,0.19865732705423644,0.1528133285032588
55063,Batesville Generation Facility,MS,34.3356,-89.9275,TVA,891.0,0.0,891.0,6,0.21142222461428953,0.1626324804725304
55317,Fore River Generating Station,MA,42.2422,-70.9661,ISNE,872.2,0.0,872.2,3,0.19624292567131357,0.1509560966702412
58420,Hamilton Liberty,PA,41.7675,-76.39,PJM,870.0,0.0,870.0,2,0.17695104304085757,0.1361161869545058
58426,Hamilton Patriot Generation Plant,PA,41.180833,-76.839167,PJM,870.0,0.0,870.0,2,0.17816744556730574,0.13705188120561979
7380,Midulla Generating Station,FL,27.641667,-81.9625,SEC,853.3,310.0,543.3,8,0.22920065630719544,0.1763081971593811
