plant_code,cached,developable_mi2_box,developable_mi2_box_incl_forest,frac_excl_slope,frac_excl_protected,frac_forest,name,state
58426,True,73.68323400343425,,,,,Hamilton Patriot Generation Plant,PA
7380,False,104.9797483297044,110.36239852194464,0.013084375,0.0199390625,0.0250796875,Midulla Generating Station,FL
58697,False,21.333225345514048,58.88320467240107,0.0032078125,0.130971875,0.1853265625,L V Sutton Combined Cycle,NC
55694,False,34.845102045002065,132.98134405540503,0.197365625,0.084003125,0.6507390625,Quantum Choctaw Power LLC,MS
56047,False,6.511304022091514,52.69333069729615,0.4579671875,0.126934375,0.5672421875,CPV Towantic Energy Center,CT
55149,False,17.110850749909716,95.9032587866886,0.2380359375,0.150040625,0.620884375,Lake Road Generating Plant,CT
57037,False,39.75168827575947,131.4951210165276,0.1675796875,0.0388234375,0.5602453125,Ratcliffe,MS
55801,True,28.18159655201312,,,,,Marcus Hook Energy LP,PA
59773,True,52.51749977429591,,,,,Carroll County Energy,OH
60302,True,30.14006114100382,,,,,Keys Energy Center,MD
57267,False,74.86644406828758,74.91266049666511,0.1964671875,0.0878109375,0.0262921875,Marsh Landing Generating Station,CA
3456,False,111.49313730345204,111.49417977928012,0.1969359375,0.33888125,0.003090625,Newman,TX
55620,False,57.602349371652366,108.56934009767352,0.009903125,0.0540203125,0.242546875,Perryville Power Station,LA
55411,False,28.609011641519608,118.99166593472074,0.3624015625,0.016065625,0.7176484375,Hillabee Energy Center,AL
55320,False,156.88010241378606,200.18628577130315,0.0419578125,0.0,0.2092953125,Wise County Power LLC,TX
55239,True,7.455787122318045,,,,,Red Oak Power LLC,NJ
55047,False,13.741916365547606,19.612792737264765,0.012175,0.0108140625,0.027596875,Pasadena Cogeneration,TX
55234,False,188.62418636223865,204.49414338480878,0.012053125,0.001053125,0.082646875,Audrain Generating Station,MO
59004,True,50.05517186840732,,,,,"Potomac Energy Center, LLC",VA
6124,False,20.846736625750566,85.41317202081717,0.0036640625,0.081815625,0.29271875,McIntosh,GA
1363,False,40.18918063160391,74.6683736609553,0.2705140625,0.0626921875,0.39145,Cane Run,KY
55172,False,147.83975203280983,175.93934048634853,0.0432484375,0.0093109375,0.1541578125,Thad Hill Energy Center,TX
116,False,34.546953958175585,34.546953958175585,0.0417703125,0.0004984375,0.0,Ocotillo,AZ
58005,False,153.09035528682855,183.53968425682487,0.0397765625,0.0,0.1562453125,Rayburn Energy Station LLC,TX
55197,False,52.53939176668527,105.3776266040824,0.16186875,0.0136703125,0.377021875,Caledonia,MS
55123,False,130.31503837915847,133.87231339645757,0.001471875,0.002684375,0.01693125,Magic Valley Generating Station,TX
57482,False,60.66479586256348,60.665838338391545,0.5076,0.540084375,0.018846875,"Sentinel Energy Center, LLC",CA
7981,False,41.655249137805434,107.86810135732874,0.3320296875,0.0598015625,0.5812390625,Mill Creek (SC),SC
60903,False,3.381444094298886,18.18981323195658,0.1214984375,0.0806859375,0.146184375,Salem Harbor Power Development LP,MA
55348,True,171.41951278780311,,,,,Troy Energy LLC,OH
55332,False,46.32971075084711,152.98749767179285,0.148484375,0.001675,0.5939078125,Washington County Power LLC,GA
7835,True,81.40172503442457,,,,,Essential Power Rock Springs LLC,MD
55170,False,9.849311623554375,66.01200187664952,0.1539046875,0.115634375,0.4022234375,Granite Ridge,NH
55139,False,116.24126720834363,149.58068666567772,0.1116296875,0.0116,0.2119359375,Wolf Hollow I LP,TX
7846,False,31.219023623050685,103.93275510638486,0.00156875,0.2021734375,0.4339265625,Brandy Branch,FL
55402,False,152.29425124612987,166.81663451495518,0.0090609375,0.0212375,0.076271875,Renaissance Power Plant,MI
57794,True,145.22209522853962,,,,,St Joseph Energy Center,IN
55656,False,88.40334018764915,88.58334101396163,0.5546890625,0.0736546875,0.10478125,"Pastoria Energy Facility, LLC",CA
55337,True,118.62888434655426,,,,,Ironwood LLC,PA
56846,True,34.41004213275644,,,,,CPV St Charles Energy Center,MD
57839,True,4.788091478300725,,,,,Woodbridge Energy Center,NJ
56940,False,48.95084247454422,102.13622176268686,0.2388859375,0.034565625,0.4138828125,CPV Valley Energy Center,NY
56963,True,25.29741342770105,,,,,West Deptford Energy Station,NJ
55409,False,52.078269958738026,106.1431513538245,0.317209375,0.08194375,0.5148890625,Calhoun Energy Center,AL
55714,False,33.97498222051081,113.25214151733972,0.3653796875,0.0,0.6614484375,Magnet Cove,AR
55129,False,183.80204067355447,183.80204067355447,0.038175,0.002528125,0.0,Desert Basin,AZ
7082,False,26.340931731593717,26.340931731593717,0.314221875,0.8339765625,0.0,Harry Allen,NV
56104,False,128.85487723598266,137.2356879097367,0.109353125,0.0263125,0.101615625,Mankato Energy Center,MN
55701,True,163.1144553575551,,,,,Fremont Energy Center,OH
57029,False,43.11089288572631,107.4392963000515,0.3245734375,0.069134375,0.5660296875,Cleveland Cnty Generating Facility,NC
58079,True,1.1369936364757944,,,,,Newark Energy Center,NJ
56,False,25.11498015778974,84.16185353519695,0.2615515625,0.0436765625,0.4918734375,Lowman Energy Center,AL
3441,False,71.61183453306988,73.38925581992004,0.0030328125,0.0,0.0084328125,Nueces Bay,TX
4939,False,48.019564068139836,53.611404409878375,2.1875e-05,0.0575921875,0.0252640625,Barney M Davis,TX
56502,False,181.09021355281575,192.7808849806749,0.0111125,0.02535625,0.0600671875,Emporia Energy Center,KS
55415,False,116.75381782380873,121.8265052031711,0.0057890625,0.0066015625,0.023375,Vandolah Power Station,FL
55193,True,61.212095672297394,,,,,Ontelaunee Energy Center,PA
55640,True,111.94105441757713,,,,,University Park North,IL
56948,False,201.20617462309303,201.20617462309303,0.0078890625,0.00835,0.0,Coolidge Generation Station,AZ
7916,False,36.231942388270674,139.73207002600873,0.2028765625,0.0482125,0.6583375,Talbot County Energy,GA
64020,False,146.03522637443,160.3456395582155,0.0200078125,0.0197359375,0.072015625,West Riverside Energy Center,WI
10,False,75.45266297560258,99.32640191411006,0.01656875,0.0770421875,0.1190984375,Greene County,AL
55516,True,34.1431683207719,,,,,Fayette Energy Facility,PA
55397,True,32.839378551805765,,,,,Washington Energy Facility,OH
