plant_code,name,state,lat,lon,ba,nameplate_MW_total,nameplate_MW_peaker,nameplate_MW_ccgt,n_units,net_gen_MWh_2024,gas_cf,cf_ac,cf_dc,developable_area_mi2_10km_excl_forest,developable_MW_10km_excl_forest,developable_area_mi2_10km_incl_forest,developable_MW_10km_incl_forest,developable_area_mi2_5km_excl_forest,developable_MW_5km_excl_forest,developable_area_mi2_5km_incl_forest,developable_MW_5km_incl_forest
55965,Wansley Combined Cycle,GA,33.406385,-85.036988,SOCO,1239.0,0.0,1239.0,6,7831043.0,0.7215130592133147,0.1555429130059263,0.1555429130059263,23.526594487761976,2151.0029245953806,68.49274685550058,6262.193998217195,4.481256092907043,409.71484278007244,14.754507886541024,1348.9835781980362
55502,"Lawrenceburg Power, LLC",IN,39.0911,-84.8669,PJM,1232.0,0.0,1232.0,6,8524583.0,0.7898749295795529,0.1468019943388821,0.1468019943388821,22.69852118833599,2075.293365790719,39.30689858911857,3593.77358529084,4.485425996219301,410.0960910829075,7.634050488917093,697.970330415277
59812,Wolf Hollow II,TX,32.337679,-97.734612,ERCO,1231.2,0.0,1231.2,3,6461028.0,0.5990580522844402,0.1773704487957958,0.1773704487957958,61.82020657200175,5652.133172297302,77.99873643967902,7131.31304591351,19.07105279861386,1743.6391130161242,22.813888513308473,2085.841235502489
60122,Colorado Bend II,TX,29.289415,-96.065399,ERCO,1230.3,0.0,1230.3,3,6978581.0,0.6475182204882278,0.1662990995408123,0.1662990995408123,92.09335712705516,8419.9640801879,103.82121019278195,9492.22493191149,21.040289637827897,1923.6836240299788,23.879298809590498,2183.250176876845
4040,Port Washington Generating Station,WI,43.3842,-87.8689,MISO,1229.6,0.0,1229.6,6,7547276.0,0.7006841145206668,0.1432759565937732,0.1432759565937732,35.82815675086699,3275.717188650696,39.5150462627888,3612.80422974069,7.048874057430162,644.4684852507576,7.687216756148388,702.8312462764239
6042,Manatee,FL,27.6058,-82.3456,FPL,1224.6,0.0,1224.6,5,6559696.0,0.6114843575798117,0.1796736003028547,0.1796736003028547,56.27562513446881,5145.200012294291,59.146951056901415,5407.721239488129,11.9307883602567,1090.8149357948982,13.413188987764567,1226.3487074527602
621,Turkey Point,FL,25.4356,-80.3308,FPL,1224.0,0.0,1224.0,5,6919751.8,0.6453643828155311,0.1812489651926313,0.1812489651926313,5.330873892779695,487.39418448271493,5.350680933512923,489.2051139211814,0.15081150312667932,13.788480285867822,0.15220147089743213,13.915563053479508
55405,Athens Generating Plant,NY,42.2728,-73.8492,NYIS,1221.6,0.0,1221.6,6,3970125.0,0.3709975576607368,0.1410468197506411,0.1410468197506411,18.12830715810077,1657.4452258834988,50.12119533751808,4582.509288001653,4.036466406266145,369.04835714433324,11.989861990513695,1096.215953418395
613,Lauderdale,FL,26.0686,-80.1984,FPL,1215.9,1215.9,0.0,7,244265.35,0.0229329487412034,0.177125460400196,0.177125460400196,0.5976861414237061,54.64559007302455,0.7008912484021018,64.08148556819216,0.2001553589884039,18.29991853608264,0.24671927930862286,22.557191251074087
55225,Oneta Energy Center,OK,36.0119,-95.6967,SWPP,1214.0,0.0,1214.0,6,5647008.0,0.5310013314978222,0.166522988972559,0.166522988972559,51.76274727477714,4732.594036551052,80.57712665442547,7367.051579833184,12.301214771162323,1124.6824933634123,18.86638004437051,1724.9261754853035
